Id,SalePrice
2,115999.54852838157
4,260682.11994452716
6,191091.22211712244
7,205804.40108668772
17,216370.39630654172
18,368058.83401769475
22,195378.68630050553
27,119135.67736615828
31,99996.39123860166
36,148311.51238490024
39,402336.7024895331
40,264915.5817685976
42,292631.84166000684
46,236414.5582016057
53,157432.36256226889
58,160007.6502428549
61,309536.15304784797
72,239397.58407912386
79,116453.52855092153
80,197149.6526350264
82,156563.54851893662
83,101907.49894473195
85,149934.57103150443
88,119442.83473048323
92,305704.01269193046
93,294683.90154531295
95,187386.7442789023
102,190265.1896051971
103,173497.99543429358
106,233570.08035725093
107,149060.16378157286
110,226263.73190701805
114,216447.47310465912
116,195555.23165590502
117,152606.58800291514
118,146691.19478647358
125,159528.359342863
126,153296.48331963795
127,135864.32148904583
128,200174.85782923552
134,153927.96336945175
135,176903.7554052091
137,215826.58310942666
143,143766.23553007477
147,137713.060416609
148,181162.11807856243
150,121598.1565252999
156,139779.6010640269
157,133177.92865474868
159,125718.2769380796
161,287822.24862881645
167,147350.44773820555
170,127966.47103194174
171,83775.80176126385
175,97929.24799338522
179,129077.97154719525
181,104648.90622599292
186,216502.0190097656
193,174140.81606794865
194,78873.3971503471
206,105548.31429631077
208,143393.34354365902
210,185230.62821057084
211,87213.06845727358
212,100711.17840202112
214,90782.65347927436
215,133434.13853031406
217,114513.81025611117
222,152816.49069172496
227,153085.56630185238
228,145961.7120056358
233,274881.3137267522
235,127021.8083550341
238,131496.47360195615
241,164623.96434588174
252,179017.83115684584
253,172995.619145924
256,160359.39459839827
257,170501.6276396053
258,189822.16019753812
259,185951.704594819
261,157425.6329689346
263,124940.74121448444
266,224816.51661741105
267,223563.24275038388
270,139792.7440530446
271,260043.4619955895
276,99030.9546544003
285,157640.22499728057
288,76032.34859648734
289,160961.83969489954
290,120352.5992923006
291,170832.51154297128
292,126657.84311456811
293,185966.03028403685
294,210422.63937923184
295,169717.73192471222
304,118628.33164453271
322,347912.97304597625
326,161985.85580728244
327,104579.62174068992
328,127478.38124675868
331,82361.31614257733
332,94943.24463254989
333,99630.37739629735
335,137948.63070309898
337,179375.44764131826
342,114666.72688084721
343,169862.01605235456
347,173171.11192391207
350,373785.71041112754
352,206634.74946034097
358,184083.6926479113
359,169528.75979198824
360,152118.73785395428
368,337089.1002982758
369,281952.43706505455
373,181510.6432886721
377,259726.44899723382
383,197246.6228965153
386,229275.61319580075
387,238652.44105614885
390,159765.171053562
391,152042.7072012003
395,151568.13613220805
397,139007.34514711887
398,113655.11546711758
401,115896.6406296528
404,105299.8498373504
408,115241.76403010858
409,138539.76899042015
410,156539.07412550194
418,127817.08685963752
422,458380.8380511687
427,361168.5593569913
431,404631.02104943694
433,506930.9360728601
437,375895.85983614007
438,277226.44417442067
442,343266.49600504537
447,232497.69278021378
459,347090.669843432
460,249345.2889804262
464,185947.28987912775
465,166079.39098547515
467,171665.68569843617
468,178830.20399672317
474,153582.59918942244
480,186919.29151486538
481,183177.26777736886
483,185214.73456017213
488,179837.0897870019
492,191637.3901012028
494,159582.83638259923
499,336935.2003161706
500,276376.5315314963
501,333777.87803717516
503,254103.7543485565
506,256404.67247091813
508,259062.5297098413
511,292317.249099175
515,251651.4576946847
519,239561.1267801962
521,276096.2567086099
530,235411.86855945864
532,240706.205701119
534,178126.28649435268
540,156521.96782094004
541,132613.8099041293
551,153960.21885789483
552,160828.82402232033
554,91071.91605473659
555,116207.69972826655
556,130063.97962228529
557,116879.53478539448
565,259071.3738386952
566,268587.9097949767
567,159919.4269044378
569,245360.49020949609
570,211723.45336897633
574,217606.29979400232
575,335374.62771974015
576,211885.34667688422
577,218931.21714336678
578,222587.21624151105
583,229475.25657040975
584,227801.57991483985
585,148521.7312099763
587,198794.73063257177
593,207601.73690784854
597,202681.04269446616
598,175511.75244162983
599,155245.97304855444
600,120228.07439383173
605,146955.70741124812
607,154687.67258685434
608,168623.39786472294
611,172564.6850899324
616,116138.35478509177
625,172584.09449491036
629,146285.7456463257
630,136800.9294959824
631,137011.18884718453
640,176277.1160469714
642,153819.42514723487
643,139540.94125886558
646,105806.54618075125
647,155011.21115594156
655,95495.05424263197
659,98363.44913193071
663,41567.81984248481
665,99487.1829593425
667,161172.38097277787
673,156128.48567525612
676,126804.91603675438
680,127987.54948556099
682,127483.55029053413
687,133811.44357493185
688,142506.69097593013
692,111543.82453912645
693,114519.96726880275
695,139921.99600985725
697,131600.919483748
700,92831.30778425236
702,123106.84296885686
703,158473.2554813537
704,97363.14497920778
712,96319.69940170462
713,96964.58776727392
717,180109.69038472607
720,167230.98866640133
721,71166.17221166463
726,146899.20547075788
